route | amk hub to sentosa  (BUS) | Bus Service 166/Bus Service NR1/
node | BUS | 54009 | Ang Mo Kio Int | Ang Mo Kio Ave 8 | 1.36968769913339 | 103.84856716193268
node | BUS | 04019 | OPP BENCOOLEN STN EXIT B | Bencoolen St | 1.29807216909408 | 103.84975607305783
node | BUS | 04167 | City Hall Stn Exit B | Nth Bridge Rd | 1.29250006522444 | 103.85145315468638
node | BUS | 04249 | Opp The Treasury | Nth Bridge Rd | 1.29043039362749 | 103.85026216508201
node | BUS | 05029 | Boat Quay | Sth Bridge Rd | 1.28712283362119 | 103.84819780822524
node | BUS | 05199 | Opp Hong Lim Cplx | Sth Bridge Rd | 1.28451455846092 | 103.84666049314171
node | BUS | 05189 | Opp Sri Mariamman Tp | Sth Bridge Rd | 1.2820913960391 | 103.84528061446953
node | BUS | 05259 | Aft Kreta Ayer Rd | Neil Rd | 1.27979447837032 | 103.84262707605177
node | BUS | 05239 | Bef The Pinnacle@Duxton | Neil Rd | 1.27854113014976 | 103.8415105424013
node | BUS | 10021 | Blk 3 | Neil Rd | 1.27744837946643 | 103.83838894560753
node | BUS | 10041 | BEF KAMPONG BAHRU TER | Kg Bahru Rd | 1.27605834770353 | 103.83519065305671
node | BUS | 10399 | Melati Blk 2 | Kg Bahru Rd | 1.27588166292683 | 103.83019454205221
node | BUS | 14221 | Opp St. Teresa's Ch | Kg Bahru Rd | 1.27359332247784 | 103.82893371728431
node | BUS | 14231 | Keppel DP Blk 519 | Kg Bahru Rd | 1.27100999999332 | 103.82667222202473
node | BUS | 14019 | Opp Mt Faber Lodge | Kg Bahru Rd | 1.2684889249437 | 103.82571717446542
node | BUS | 14141 | HarbourFront Stn/Vivocity | Telok Blangah Rd | 1.26552421466644 | 103.82211326846237
node | BUS | 14519 | Resorts World Sentosa | Sentosa Gateway | 1.25352193438281 | 103.82570322127442
route | amk hub to sungei gedong  (MRT) | NS16 Line/
node | MRT | [] | Ang Mo Kio Station |  | 1.37 | 103.8496
node | MRT | [] | Yio Chu Kang Station |  | 1.3817 | 103.8449
node | MRT | [] | Khatib Station |  | 1.4173 | 103.833
node | MRT | [] | Yishun Station |  | 1.4295 | 103.835
node | MRT | [] | Sembawang Station |  | 1.4491 | 103.82
node | MRT | [] | Admiralty Station |  | 1.4406 | 103.801
node | MRT | [] | Woodlands Station |  | 1.437094 | 103.786483
node | MRT | [] | Marsiling Station |  | 1.4326 | 103.7742
node | MRT | [] | Kranji Station |  | 1.4252 | 103.762
node | MRT | [] | Yew Tee Station |  | 1.3973 | 103.7475
route | amk hub to clementi mall  (MRT) | NS16 Line/EW24 Line/
node | MRT | [] | Ang Mo Kio Station |  | 1.37 | 103.8496
node | MRT | [] | Yio Chu Kang Station |  | 1.3817 | 103.8449
node | MRT | [] | Khatib Station |  | 1.4173 | 103.833
node | MRT | [] | Yishun Station |  | 1.4295 | 103.835
node | MRT | [] | Sembawang Station |  | 1.4491 | 103.82
node | MRT | [] | Admiralty Station |  | 1.4406 | 103.801
node | MRT | [] | Woodlands Station |  | 1.437094 | 103.786483
node | MRT | [] | Marsiling Station |  | 1.4326 | 103.7742
node | MRT | [] | Kranji Station |  | 1.4252 | 103.762
node | MRT | [] | Yew Tee Station |  | 1.3973 | 103.7475
node | MRT | [] | Chua Chu Kang Station |  | 1.3854 | 103.7443
node | MRT | [] | Bukit Gombak Station |  | 1.3589 | 103.7518
node | MRT | [] | Bukit Batok Station |  | 1.3491 | 103.7496
node | MRT | [] | Jurong East Station |  | 1.3331 | 103.7421
node | MRT | [] | Clementi Station |  | 1.3152 | 103.7652
route | amk hub to bishan  (BUS) | Bus Service 22/Bus Service 162M/
node | BUS | 54009 | Ang Mo Kio Int | Ang Mo Kio Ave 8 | 1.36968769913339 | 103.84856716193268
node | BUS | 54339 | Blk 422 | Ang Mo Kio Ave 8 | 1.3678447007404 | 103.85057966582927
node | BUS | 54329 | Blk 420 | Ang Mo Kio Ave 8 | 1.36449772525141 | 103.85247983714417
node | BUS | 54319 | Opp Christ The King Ch | Ang Mo Kio Ave 8 | 1.36205969144532 | 103.85305482306448
node | BUS | 54531 | OPP BISHAN PK | Bishan Rd | 1.35839974282084 | 103.85132688003488
node | BUS | 53241 | OPP BLK 217 | Bishan Rd | 1.35615639153054 | 103.84995659632311
node | BUS | 53391 | Opp Blk 203 | Bishan St 22 | 1.35444291744538 | 103.84696320325273
node | BUS | 53381 | Bishan Nth Shop Mall | Bishan St 22 | 1.35830432828214 | 103.84496212009292
node | BUS | 53371 | Blk 257 | Bishan St 22 | 1.35994333341045 | 103.84379568310376
node | BUS | 53321 | CityCab | Sin Ming Ave | 1.36135000000011 | 103.84029472198131
node | BUS | 53331 | Bef Bright Hill Tp | Sin Ming Ave | 1.36285472197724 | 103.83701277802122
node | BUS | 53341 | Blk 407 | Sin Ming Ave | 1.36355638900203 | 103.83394166697735
node | BUS | 53351 | Ai Tong Sch | Sin Ming Ave | 1.36080972198475 | 103.83211750001261
